Name,Entropy,C Size,Elements Per Second,Total Time
AVX-512 Hybrid Merge Sort,16,33554432,5166975,6.49401855468750000000
Intel IPP Sort,16,33554432,4184748,8.01826667785644531250
Quick Sort,16,33554432,1146328,29.27121353149414062500
Merge Sort Standard,20,33554432,2059508,16.29244804382324218750
SSE Bitonic Based Merge Sort,20,33554432,2356868,14.23686981201171875000
AVX-512 Merge Path Based Sort,20,33554432,2348600,14.28698921203613281250
AVX-512 Hybrid Merge Sort,20,33554432,5024564,6.67807769775390625000
Intel IPP Sort,20,33554432,3315397,10.12078857421875000000
Quick Sort,20,33554432,1121273,29.92527770996093750000
Merge Sort Standard,24,33554432,2059328,16.29386711120605468750
SSE Bitonic Based Merge Sort,24,33554432,2352950,14.26057720184326171875
AVX-512 Merge Path Based Sort,24,33554432,2349205,14.28331279754638671875
AVX-512 Hybrid Merge Sort,24,33554432,5010403,6.69695281982421875000
Intel IPP Sort,24,33554432,2662979,12.60033607482910156250
Quick Sort,24,33554432,1105476,30.35292053222656250000
Merge Sort Standard,28,33554432,2059467,16.29276847839355468750
SSE Bitonic Based Merge Sort,28,33554432,2353492,14.25729370117187500000
AVX-512 Merge Path Based Sort,28,33554432,2347689,14.29253673553466796875
AVX-512 Hybrid Merge Sort,28,33554432,5009398,6.69829559326171875000
Intel IPP Sort,28,33554432,2613146,12.84062480926513671875
Quick Sort,28,33554432,1104985,30.36640357971191406250
Merge Sort Standard,4,67108864,2096909,32.00370025634765625000
SSE Bitonic Based Merge Sort,4,67108864,2532674,26.49723434448242187500
AVX-512 Merge Path Based Sort,4,67108864,2389254,28.08778381347656250000
