Name,Entropy,A Size,B Size,Number of Threads,Elements Per Second,Total Time
AVX-512 Merge Path Based Parallel Merge,12,262144,262144,4,555505280,0.00094380381051450968
AVX-512 Merge Path Based Parallel Merge,12,262144,262144,8,1301659264,0.00040278435335494578
AVX-512 Merge Path Based Parallel Merge,12,262144,262144,16,1917529728,0.00027341843815520406
AVX-512 Merge Path Based Parallel Merge,12,262144,262144,32,-2147483648,0.00020480155944824219
AVX-512 Merge Path Based Parallel Merge,12,262144,262144,64,-2147483648,0.00017490386380814016
AVX-512 Merge Path Based Parallel Merge,12,262144,262144,128,1628906112,0.00032186508178710938
AVX-512 Merge Path Based Parallel Merge,12,262144,262144,256,452921248,0.00115756993182003498
AVX-512 Merge Path Based Parallel Merge,16,262144,262144,2,224996256,0.00233020773157477379
AVX-512 Merge Path Based Parallel Merge,16,262144,262144,4,557392064,0.00094060896662995219
AVX-512 Merge Path Based Parallel Merge,16,262144,262144,8,1289598464,0.00040655134944245219
AVX-512 Merge Path Based Parallel Merge,16,262144,262144,16,1947761920,0.00026917457580566406
AVX-512 Merge Path Based Parallel Merge,16,262144,262144,32,-2147483648,0.00023441314988303930
AVX-512 Merge Path Based Parallel Merge,16,262144,262144,64,-2147483648,0.00018773079500533640
AVX-512 Merge Path Based Parallel Merge,16,262144,262144,128,1711035904,0.00030641554621979594
AVX-512 Merge Path Based Parallel Merge,16,262144,262144,256,430286688,0.00121846201363950968
AVX-512 Merge Path Based Parallel Merge,20,262144,262144,2,243152576,0.00215620989911258221
AVX-512 Merge Path Based Parallel Merge,20,262144,262144,4,563881024,0.00092978478642180562
AVX-512 Merge Path Based Parallel Merge,20,262144,262144,8,1334358784,0.00039291381835937500
AVX-512 Merge Path Based Parallel Merge,20,262144,262144,16,1983961728,0.00026426315889693797
AVX-512 Merge Path Based Parallel Merge,20,262144,262144,32,-2147483648,0.00022597312636207789
AVX-512 Merge Path Based Parallel Merge,20,262144,262144,64,-2147483648,0.00018029213242698461
AVX-512 Merge Path Based Parallel Merge,20,262144,262144,128,1052365568,0.00049819948617368937
AVX-512 Merge Path Based Parallel Merge,20,262144,262144,256,477736960,0.00109744071960449219
AVX-512 Merge Path Based Parallel Merge,24,262144,262144,2,235678672,0.00222458830103278160
AVX-512 Merge Path Based Parallel Merge,24,262144,262144,4,554440832,0.00094561575679108500
AVX-512 Merge Path Based Parallel Merge,24,262144,262144,8,1347440768,0.00038909912109375000
AVX-512 Merge Path Based Parallel Merge,24,262144,262144,16,2006774144,0.00026125909062102437
AVX-512 Merge Path Based Parallel Merge,24,262144,262144,32,-2147483648,0.00022058487229514867
AVX-512 Merge Path Based Parallel Merge,24,262144,262144,64,-2147483648,0.00020518302335403860
AVX-512 Merge Path Based Parallel Merge,24,262144,262144,128,1453995776,0.00036058426485396922
AVX-512 Merge Path Based Parallel Merge,24,262144,262144,256,437320672,0.00119886395987123251
AVX-512 Merge Path Based Parallel Merge,28,262144,262144,2,236464288,0.00221719732508063316
AVX-512 Merge Path Based Parallel Merge,28,262144,262144,4,552324160,0.00094923970755189657
AVX-512 Merge Path Based Parallel Merge,28,262144,262144,8,1209716736,0.00043339730473235250
AVX-512 Merge Path Based Parallel Merge,28,262144,262144,16,2136218368,0.00024542809114791453
AVX-512 Merge Path Based Parallel Merge,28,262144,262144,32,-2147483648,0.00020623207092285156
AVX-512 Merge Path Based Parallel Merge,28,262144,262144,64,2087152000,0.00025119780912064016
AVX-512 Merge Path Based Parallel Merge,28,262144,262144,128,1777419392,0.00029497145442292094
AVX-512 Merge Path Based Parallel Merge,28,262144,262144,256,576475456,0.00090947153512388468
AVX-512 Merge Path Based Parallel Merge,4,524288,524288,2,166542208,0.00629615783691406250
AVX-512 Merge Path Based Parallel Merge,4,524288,524288,4,319393344,0.00328302383422851562
AVX-512 Merge Path Based Parallel Merge,4,524288,524288,8,307516992,0.00340981478802859783
AVX-512 Merge Path Based Parallel Merge,4,524288,524288,16,316206048,0.00331611628644168377
AVX-512 Merge Path Based Parallel Merge,4,524288,524288,32,601105216,0.00174441339913755655
AVX-512 Merge Path Based Parallel Merge,4,524288,524288,64,1074843904,0.00097556115360930562
AVX-512 Merge Path Based Parallel Merge,4,524288,524288,128,1069251776,0.00098066334612667561
AVX-512 Merge Path Based Parallel Merge,4,524288,524288,256,673534656,0.00155682559125125408
AVX-512 Merge Path Based Parallel Merge,8,524288,524288,2,198285264,0.00528821954503655434
AVX-512 Merge Path Based Parallel Merge,8,524288,524288,4,602967744,0.00173902511596679688
AVX-512 Merge Path Based Parallel Merge,8,524288,524288,8,1208586624,0.00086760520935058594
AVX-512 Merge Path Based Parallel Merge,8,524288,524288,16,2035190400,0.00051522254943847656
AVX-512 Merge Path Based Parallel Merge,8,524288,524288,32,-2147483648,0.00043535232543945312
AVX-512 Merge Path Based Parallel Merge,8,524288,524288,64,-2147483648,0.00043063162593171000
AVX-512 Merge Path Based Parallel Merge,8,524288,524288,128,1534237952,0.00068345072213560343
AVX-512 Merge Path Based Parallel Merge,8,524288,524288,256,643629120,0.00162916188128292561
AVX-512 Merge Path Based Parallel Merge,12,524288,524288,2,84204400,0.01245274581015110016
AVX-512 Merge Path Based Parallel Merge,12,524288,524288,4,501487616,0.00209093093872070312
AVX-512 Merge Path Based Parallel Merge,12,524288,524288,8,1086849792,0.00096478464547544718
AVX-512 Merge Path Based Parallel Merge,12,524288,524288,16,-2147483648,0.00046024323091842234
AVX-512 Merge Path Based Parallel Merge,12,524288,524288,32,-2147483648,0.00032896996708586812
AVX-512 Merge Path Based Parallel Merge,12,524288,524288,64,-2147483648,0.00032763479975983500
AVX-512 Merge Path Based Parallel Merge,12,524288,524288,128,-2147483648,0.00045313834561966360
AVX-512 Merge Path Based Parallel Merge,12,524288,524288,256,750059072,0.00139799120370298624
AVX-512 Merge Path Based Parallel Merge,16,524288,524288,2,80837528,0.01297140121459960938
AVX-512 Merge Path Based Parallel Merge,16,524288,524288,4,479769440,0.00218558311462402344
AVX-512 Merge Path Based Parallel Merge,16,524288,524288,8,1083636352,0.00096764566842466593
AVX-512 Merge Path Based Parallel Merge,16,524288,524288,16,2107555328,0.00049753190251067281
AVX-512 Merge Path Based Parallel Merge,16,524288,524288,32,-2147483648,0.00030765534029342234
AVX-512 Merge Path Based Parallel Merge,16,524288,524288,64,-2147483648,0.00037446021451614797
AVX-512 Merge Path Based Parallel Merge,16,524288,524288,128,2046174208,0.00051245687063783407
AVX-512 Merge Path Based Parallel Merge,16,524288,524288,256,838170112,0.00125103001482784748
AVX-512 Merge Path Based Parallel Merge,20,524288,524288,2,187214656,0.00560092926025390625
